Meter Serial Number,Timestamp,Token,Rands(ZAR),Token Description
39682028145,2020-08-09 15:31:24.00 ,46228061459770057198,67.15,ELECTRICITY CREDIT
39682028145,2020-08-22 18:00:57.00 ,77974607587545614212,57.61,ELECTRICITY CREDIT
39682028145,2020-08-27 04:11:11.00 ,26225087762815589321,144.10,ELECTRICITY CREDIT
39682028145,2020-09-07 17:28:11.00 ,46933601358254101125,96.02,ELECTRICITY CREDIT
39682028145,2020-09-07 17:28:30.00 ,93931337748731398943,67.15,ELECTRICITY CREDIT
95146045109,2020-11-25 16:42:29.00 ,17678895685937177481,31.69,ELECTRICITY CREDIT
95146045109,2020-11-27 06:40:32.00 ,87276597816728004031,14.77,ELECTRICITY CREDIT
95146045109,2020-11-27 16:41:15.00 ,86887798143432096360,36.93,ELECTRICITY CREDIT
95146045109,2020-11-29 17:40:52.00 ,85698871873167786815,166.93,ELECTRICITY CREDIT
95146045109,2020-11-29 17:41:10.00 ,90397899554235552794,67.15,ELECTRICITY CREDIT
17485653652,2021-02-19 15:05:34.00 ,44116104904784621474,77.89,ELECTRICITY CREDIT
17485653652,2021-02-23 11:30:32.00 ,26899269415383573970,73.73,ELECTRICITY CREDIT
17485653652,2021-02-27 14:59:10.00 ,93639879868547159774,22.16,ELECTRICITY CREDIT
17485653652,2021-03-01 04:00:50.00 ,34491546569764837181,166.93,ELECTRICITY CREDIT
17485653652,2021-03-08 10:20:17.00 ,89035055896458376223,166.93,ELECTRICITY CREDIT
62048269954,2021-03-29 20:55:36.00 ,25916531849612172155,0.69,ELECTRICITY CREDIT
62048269954,2020-05-16 11:14:17.00 ,78848552952241694080,47.01,ELECTRICITY CREDIT
62048269954,2021-05-16 11:14:45.00 ,94407806720371443502,96.59,ELECTRICITY CREDIT
62048269954,2020-06-12 20:45:31.00 ,96295107950596327105,34.82,ELECTRICITY CREDIT
94809892066,2020-07-29 19:06:25.00 ,44676804159546931789,125.23,ELECTRICITY CREDIT
94809892066,2021-08-09 13:59:49.00 ,45201464614121318185,93.16,ELECTRICITY CREDIT
94809892066,2020-08-09 15:31:24.00 ,84019811673913861189,34.74,ELECTRICITY CREDIT
94809892066,2021-08-22 18:00:57.00 ,69169491658953342498,95.02,ELECTRICITY CREDIT
94809892066,2020-08-27 04:11:11.00 ,16387383638390411483,35.25,ELECTRICITY CREDIT
94809892066,2021-09-07 17:28:11.00 ,38693733965442651270,53.71,ELECTRICITY CREDIT
94809892066,2021-09-07 17:28:30.00 ,48351250468490781755,28.49,ELECTRICITY CREDIT
94809892066,2021-09-20 05:15:09.00 ,31143209933017053513,69.67,ELECTRICITY CREDIT
